"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"1","Native 1",6,"disamb","fp",2,407,-0.5,"disamb fp",0,407,-0.5,-0.5
"4","Native 1",1,"disamb","fp",1,159,-0.5,"disamb fp",0,159,0.5,-0.5
"5","Native 1",16,"disamb","fp",4,415,-0.5,"disamb fp",0,415,-0.5,0.5
"7","Native 1",13,"disamb","fp",1,547,-0.5,"disamb fp",0,547,0.5,-0.5
"8","Native 1",3,"disamb","fp",3,186,-0.5,"disamb fp",0,186,0.5,0.5
"10","Native 1",10,"disamb","fp",2,211,-0.5,"disamb fp",0,211,-0.5,-0.5
"12","Native 1",7,"disamb","fp",3,362,-0.5,"disamb fp",0,362,0.5,0.5
"14","Native 1",20,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"15","Native 1",4,"disamb","fp",4,158,-0.5,"disamb fp",0,158,-0.5,0.5
"16","Native 1",8,"disamb","fp",4,384,-0.5,"disamb fp",0,384,-0.5,0.5
"18","Native 1",15,"disamb","fp",3,277,-0.5,"disamb fp",0,277,0.5,0.5
"20","Native 1",22,"disamb","fp",2,222,-0.5,"disamb fp",0,222,-0.5,-0.5
"22","Native 1",19,"disamb","fp",3,421,-0.5,"disamb fp",0,421,0.5,0.5
"25","Native 1",12,"disamb","fp",4,177,-0.5,"disamb fp",0,177,-0.5,0.5
"28","Native 1",23,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"30","Native 1",17,"disamb","fp",1,360,-0.5,"disamb fp",0,360,0.5,-0.5
"31","Native 1",21,"disamb","fp",1,227,-0.5,"disamb fp",0,227,0.5,-0.5
"35","Native 1",24,"disamb","fp",4,398,-0.5,"disamb fp",0,398,-0.5,0.5
"37","Native 1",14,"disamb","fp",2,536,-0.5,"disamb fp",0,536,-0.5,-0.5
"38","Native 1",11,"disamb","fp",3,305,-0.5,"disamb fp",0,305,0.5,0.5
"39","Native 1",9,"disamb","fp",1,444,-0.5,"disamb fp",0,444,0.5,-0.5
"43","Native 1",5,"disamb","fp",1,347,-0.5,"disamb fp",0,347,0.5,-0.5
"44","Native 1",2,"disamb","fp",2,188,-0.5,"disamb fp",0,188,-0.5,-0.5
"47","Native 1",18,"disamb","fp",2,350,-0.5,"disamb fp",0,350,-0.5,-0.5
"52","Native 2",20,"disamb","fp",1,0,-0.5,"disamb fp",1,NA,0.5,-0.5
"53","Native 2",5,"disamb","fp",2,295,-0.5,"disamb fp",0,295,-0.5,-0.5
"54","Native 2",12,"disamb","fp",1,189,-0.5,"disamb fp",0,189,0.5,-0.5
"55","Native 2",2,"disamb","fp",3,207,-0.5,"disamb fp",0,207,0.5,0.5
"56","Native 2",9,"disamb","fp",2,245,-0.5,"disamb fp",0,245,-0.5,-0.5
"60","Native 2",16,"disamb","fp",1,180,-0.5,"disamb fp",0,180,0.5,-0.5
"61","Native 2",1,"disamb","fp",2,182,-0.5,"disamb fp",0,182,-0.5,-0.5
"64","Native 2",13,"disamb","fp",2,0,-0.5,"disamb fp",1,NA,-0.5,-0.5
"65","Native 2",10,"disamb","fp",3,322,-0.5,"disamb fp",0,322,0.5,0.5
"70","Native 2",7,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"73","Native 2",24,"disamb","fp",1,182,-0.5,"disamb fp",0,182,0.5,-0.5
"76","Native 2",23,"disamb","fp",4,191,-0.5,"disamb fp",0,191,-0.5,0.5
"77","Native 2",4,"disamb","fp",1,245,-0.5,"disamb fp",0,245,0.5,-0.5
"80","Native 2",19,"disamb","fp",4,341,-0.5,"disamb fp",0,341,-0.5,0.5
"81","Native 2",22,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"84","Native 2",8,"disamb","fp",1,277,-0.5,"disamb fp",0,277,0.5,-0.5
"85","Native 2",3,"disamb","fp",4,177,-0.5,"disamb fp",0,177,-0.5,0.5
"86","Native 2",17,"disamb","fp",2,261,-0.5,"disamb fp",0,261,-0.5,-0.5
"89","Native 2",21,"disamb","fp",2,0,-0.5,"disamb fp",1,NA,-0.5,-0.5
"90","Native 2",14,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"91","Native 2",18,"disamb","fp",3,267,-0.5,"disamb fp",0,267,0.5,0.5
"93","Native 2",6,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"95","Native 2",11,"disamb","fp",4,223,-0.5,"disamb fp",0,223,-0.5,0.5
"96","Native 2",15,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"99","Native 3",18,"disamb","fp",4,303,-0.5,"disamb fp",0,303,-0.5,0.5
"102","Native 3",4,"disamb","fp",2,153,-0.5,"disamb fp",0,153,-0.5,-0.5
"106","Native 3",15,"disamb","fp",1,429,-0.5,"disamb fp",0,429,0.5,-0.5
"107","Native 3",10,"disamb","fp",4,320,-0.5,"disamb fp",0,320,-0.5,0.5
"108","Native 3",23,"disamb","fp",1,343,-0.5,"disamb fp",0,343,0.5,-0.5
"109","Native 3",17,"disamb","fp",3,184,-0.5,"disamb fp",0,184,0.5,0.5
"111","Native 3",9,"disamb","fp",3,379,-0.5,"disamb fp",0,379,0.5,0.5
"112","Native 3",22,"disamb","fp",4,305,-0.5,"disamb fp",0,305,-0.5,0.5
"121","Native 3",13,"disamb","fp",3,457,-0.5,"disamb fp",0,457,0.5,0.5
"122","Native 3",1,"disamb","fp",3,456,-0.5,"disamb fp",0,456,0.5,0.5
"123","Native 3",5,"disamb","fp",3,446,-0.5,"disamb fp",0,446,0.5,0.5
"125","Native 3",11,"disamb","fp",1,509,-0.5,"disamb fp",0,509,0.5,-0.5
"126","Native 3",16,"disamb","fp",2,362,-0.5,"disamb fp",0,362,-0.5,-0.5
"127","Native 3",6,"disamb","fp",4,218,-0.5,"disamb fp",0,218,-0.5,0.5
"128","Native 3",21,"disamb","fp",3,224,-0.5,"disamb fp",0,224,0.5,0.5
"129","Native 3",3,"disamb","fp",1,225,-0.5,"disamb fp",0,225,0.5,-0.5
"131","Native 3",7,"disamb","fp",1,641,-0.5,"disamb fp",0,641,0.5,-0.5
"136","Native 3",14,"disamb","fp",4,516,-0.5,"disamb fp",0,516,-0.5,0.5
"137","Native 3",19,"disamb","fp",1,402,-0.5,"disamb fp",0,402,0.5,-0.5
"138","Native 3",20,"disamb","fp",2,290,-0.5,"disamb fp",0,290,-0.5,-0.5
"140","Native 3",8,"disamb","fp",2,269,-0.5,"disamb fp",0,269,-0.5,-0.5
"141","Native 3",2,"disamb","fp",4,327,-0.5,"disamb fp",0,327,-0.5,0.5
"143","Native 3",24,"disamb","fp",2,273,-0.5,"disamb fp",0,273,-0.5,-0.5
"144","Native 3",12,"disamb","fp",2,143,-0.5,"disamb fp",0,143,-0.5,-0.5
"145","Native 4",5,"disamb","fp",4,362,-0.5,"disamb fp",0,362,-0.5,0.5
"146","Native 4",10,"disamb","fp",1,234,-0.5,"disamb fp",0,234,0.5,-0.5
"149","Native 4",12,"disamb","fp",3,238,-0.5,"disamb fp",0,238,0.5,0.5
"150","Native 4",14,"disamb","fp",1,583,-0.5,"disamb fp",0,583,0.5,-0.5
"153","Native 4",11,"disamb","fp",2,297,-0.5,"disamb fp",0,297,-0.5,-0.5
"155","Native 4",18,"disamb","fp",1,749,-0.5,"disamb fp",0,749,0.5,-0.5
"156","Native 4",7,"disamb","fp",2,233,-0.5,"disamb fp",0,233,-0.5,-0.5
"158","Native 4",20,"disamb","fp",3,405,-0.5,"disamb fp",0,405,0.5,0.5
"159","Native 4",22,"disamb","fp",1,708,-0.5,"disamb fp",0,708,0.5,-0.5
"162","Native 4",16,"disamb","fp",3,257,-0.5,"disamb fp",0,257,0.5,0.5
"163","Native 4",17,"disamb","fp",4,238,-0.5,"disamb fp",0,238,-0.5,0.5
"167","Native 4",2,"disamb","fp",1,271,-0.5,"disamb fp",0,271,0.5,-0.5
"168","Native 4",8,"disamb","fp",3,551,-0.5,"disamb fp",0,551,0.5,0.5
"177","Native 4",23,"disamb","fp",2,414,-0.5,"disamb fp",0,414,-0.5,-0.5
"178","Native 4",4,"disamb","fp",3,198,-0.5,"disamb fp",0,198,0.5,0.5
"180","Native 4",21,"disamb","fp",4,318,-0.5,"disamb fp",0,318,-0.5,0.5
"181","Native 4",9,"disamb","fp",4,502,-0.5,"disamb fp",0,502,-0.5,0.5
"184","Native 4",3,"disamb","fp",2,0,-0.5,"disamb fp",1,NA,-0.5,-0.5
"185","Native 4",1,"disamb","fp",4,605,-0.5,"disamb fp",0,605,-0.5,0.5
"186","Native 4",19,"disamb","fp",2,307,-0.5,"disamb fp",0,307,-0.5,-0.5
"187","Native 4",13,"disamb","fp",4,625,-0.5,"disamb fp",0,625,-0.5,0.5
"188","Native 4",6,"disamb","fp",1,413,-0.5,"disamb fp",0,413,0.5,-0.5
"189","Native 4",24,"disamb","fp",3,399,-0.5,"disamb fp",0,399,0.5,0.5
"191","Native 4",15,"disamb","fp",2,503,-0.5,"disamb fp",0,503,-0.5,-0.5
"193","Native 5",13,"disamb","fp",1,135,-0.5,"disamb fp",0,135,0.5,-0.5
"194","Native 5",6,"disamb","fp",2,279,-0.5,"disamb fp",0,279,-0.5,-0.5
"195","Native 5",21,"disamb","fp",1,177,-0.5,"disamb fp",0,177,0.5,-0.5
"196","Native 5",24,"disamb","fp",4,203,-0.5,"disamb fp",0,203,-0.5,0.5
"201","Native 5",11,"disamb","fp",3,235,-0.5,"disamb fp",0,235,0.5,0.5
"202","Native 5",18,"disamb","fp",2,209,-0.5,"disamb fp",0,209,-0.5,-0.5
"204","Native 5",16,"disamb","fp",4,218,-0.5,"disamb fp",0,218,-0.5,0.5
"206","Native 5",7,"disamb","fp",3,208,-0.5,"disamb fp",0,208,0.5,0.5
"213","Native 5",3,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"218","Native 5",14,"disamb","fp",2,206,-0.5,"disamb fp",0,206,-0.5,-0.5
"219","Native 5",20,"disamb","fp",4,157,-0.5,"disamb fp",0,157,-0.5,0.5
"220","Native 5",2,"disamb","fp",2,295,-0.5,"disamb fp",0,295,-0.5,-0.5
"221","Native 5",8,"disamb","fp",4,173,-0.5,"disamb fp",0,173,-0.5,0.5
"223","Native 5",15,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"226","Native 5",10,"disamb","fp",2,216,-0.5,"disamb fp",0,216,-0.5,-0.5
"230","Native 5",23,"disamb","fp",3,208,-0.5,"disamb fp",0,208,0.5,0.5
"231","Native 5",4,"disamb","fp",4,456,-0.5,"disamb fp",0,456,-0.5,0.5
"233","Native 5",9,"disamb","fp",1,255,-0.5,"disamb fp",0,255,0.5,-0.5
"234","Native 5",17,"disamb","fp",1,0,-0.5,"disamb fp",1,NA,0.5,-0.5
"235","Native 5",12,"disamb","fp",4,164,-0.5,"disamb fp",0,164,-0.5,0.5
"236","Native 5",22,"disamb","fp",2,264,-0.5,"disamb fp",0,264,-0.5,-0.5
"237","Native 5",5,"disamb","fp",1,378,-0.5,"disamb fp",0,378,0.5,-0.5
"238","Native 5",19,"disamb","fp",3,285,-0.5,"disamb fp",0,285,0.5,0.5
"239","Native 5",1,"disamb","fp",1,0,-0.5,"disamb fp",1,NA,0.5,-0.5
"241","Native 6",21,"disamb","fp",2,284,-0.5,"disamb fp",0,284,-0.5,-0.5
"244","Native 6",15,"disamb","fp",4,163,-0.5,"disamb fp",0,163,-0.5,0.5
"245","Native 6",6,"disamb","fp",3,574,-0.5,"disamb fp",0,574,0.5,0.5
"247","Native 6",19,"disamb","fp",4,560,-0.5,"disamb fp",0,560,-0.5,0.5
"255","Native 6",10,"disamb","fp",3,131,-0.5,"disamb fp",0,131,0.5,0.5
"257","Native 6",24,"disamb","fp",1,294,-0.5,"disamb fp",0,294,0.5,-0.5
"258","Native 6",5,"disamb","fp",2,601,-0.5,"disamb fp",0,601,-0.5,-0.5
"259","Native 6",2,"disamb","fp",3,485,-0.5,"disamb fp",0,485,0.5,0.5
"260","Native 6",14,"disamb","fp",3,158,-0.5,"disamb fp",0,158,0.5,0.5
"263","Native 6",18,"disamb","fp",3,199,-0.5,"disamb fp",0,199,0.5,0.5
"265","Native 6",7,"disamb","fp",4,175,-0.5,"disamb fp",0,175,-0.5,0.5
"267","Native 6",17,"disamb","fp",2,289,-0.5,"disamb fp",0,289,-0.5,-0.5
"268","Native 6",23,"disamb","fp",4,167,-0.5,"disamb fp",0,167,-0.5,0.5
"269","Native 6",8,"disamb","fp",1,197,-0.5,"disamb fp",0,197,0.5,-0.5
"273","Native 6",3,"disamb","fp",4,218,-0.5,"disamb fp",0,218,-0.5,0.5
"274","Native 6",20,"disamb","fp",1,404,-0.5,"disamb fp",0,404,0.5,-0.5
"275","Native 6",16,"disamb","fp",1,173,-0.5,"disamb fp",0,173,0.5,-0.5
"277","Native 6",4,"disamb","fp",1,187,-0.5,"disamb fp",0,187,0.5,-0.5
"278","Native 6",13,"disamb","fp",2,231,-0.5,"disamb fp",0,231,-0.5,-0.5
"279","Native 6",9,"disamb","fp",2,181,-0.5,"disamb fp",0,181,-0.5,-0.5
"283","Native 6",22,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"284","Native 6",11,"disamb","fp",4,180,-0.5,"disamb fp",0,180,-0.5,0.5
"286","Native 6",1,"disamb","fp",2,0,-0.5,"disamb fp",1,NA,-0.5,-0.5
"288","Native 6",12,"disamb","fp",1,164,-0.5,"disamb fp",0,164,0.5,-0.5
"292","Native 7",20,"disamb","fp",2,0,-0.5,"disamb fp",1,NA,-0.5,-0.5
"293","Native 7",3,"disamb","fp",1,363,-0.5,"disamb fp",0,363,0.5,-0.5
"295","Native 7",9,"disamb","fp",3,187,-0.5,"disamb fp",0,187,0.5,0.5
"296","Native 7",1,"disamb","fp",3,152,-0.5,"disamb fp",0,152,0.5,0.5
"297","Native 7",7,"disamb","fp",1,137,-0.5,"disamb fp",0,137,0.5,-0.5
"303","Native 7",15,"disamb","fp",1,0,-0.5,"disamb fp",1,NA,0.5,-0.5
"305","Native 7",12,"disamb","fp",2,271,-0.5,"disamb fp",0,271,-0.5,-0.5
"306","Native 7",24,"disamb","fp",2,270,-0.5,"disamb fp",0,270,-0.5,-0.5
"309","Native 7",22,"disamb","fp",4,104,-0.5,"disamb fp",0,104,-0.5,0.5
"310","Native 7",8,"disamb","fp",2,170,-0.5,"disamb fp",0,170,-0.5,-0.5
"311","Native 7",6,"disamb","fp",4,191,-0.5,"disamb fp",0,191,-0.5,0.5
"312","Native 7",16,"disamb","fp",2,207,-0.5,"disamb fp",0,207,-0.5,-0.5
"315","Native 7",18,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"316","Native 7",2,"disamb","fp",4,129,-0.5,"disamb fp",0,129,-0.5,0.5
"319","Native 7",11,"disamb","fp",1,199,-0.5,"disamb fp",0,199,0.5,-0.5
"321","Native 7",14,"disamb","fp",4,232,-0.5,"disamb fp",0,232,-0.5,0.5
"322","Native 7",13,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"324","Native 7",5,"disamb","fp",3,139,-0.5,"disamb fp",0,139,0.5,0.5
"326","Native 7",19,"disamb","fp",1,505,-0.5,"disamb fp",0,505,0.5,-0.5
"330","Native 7",21,"disamb","fp",3,174,-0.5,"disamb fp",0,174,0.5,0.5
"332","Native 7",23,"disamb","fp",1,373,-0.5,"disamb fp",0,373,0.5,-0.5
"333","Native 7",4,"disamb","fp",2,551,-0.5,"disamb fp",0,551,-0.5,-0.5
"334","Native 7",17,"disamb","fp",3,283,-0.5,"disamb fp",0,283,0.5,0.5
"336","Native 7",10,"disamb","fp",4,324,-0.5,"disamb fp",0,324,-0.5,0.5
"339","Native 8",10,"disamb","fp",1,161,-0.5,"disamb fp",0,161,0.5,-0.5
"340","Native 8",6,"disamb","fp",1,0,-0.5,"disamb fp",1,NA,0.5,-0.5
"341","Native 8",9,"disamb","fp",4,153,-0.5,"disamb fp",0,153,-0.5,0.5
"342","Native 8",12,"disamb","fp",3,174,-0.5,"disamb fp",0,174,0.5,0.5
"343","Native 8",15,"disamb","fp",2,196,-0.5,"disamb fp",0,196,-0.5,-0.5
"344","Native 8",8,"disamb","fp",3,173,-0.5,"disamb fp",0,173,0.5,0.5
"350","Native 8",22,"disamb","fp",1,168,-0.5,"disamb fp",0,168,0.5,-0.5
"352","Native 8",16,"disamb","fp",3,191,-0.5,"disamb fp",0,191,0.5,0.5
"354","Native 8",18,"disamb","fp",1,150,-0.5,"disamb fp",0,150,0.5,-0.5
"358","Native 8",4,"disamb","fp",3,0,-0.5,"disamb fp",1,NA,0.5,0.5
"359","Native 8",17,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"360","Native 8",13,"disamb","fp",4,192,-0.5,"disamb fp",0,192,-0.5,0.5
"361","Native 8",5,"disamb","fp",4,219,-0.5,"disamb fp",0,219,-0.5,0.5
"364","Native 8",14,"disamb","fp",1,376,-0.5,"disamb fp",0,376,0.5,-0.5
"366","Native 8",20,"disamb","fp",3,178,-0.5,"disamb fp",0,178,0.5,0.5
"368","Native 8",7,"disamb","fp",2,138,-0.5,"disamb fp",0,138,-0.5,-0.5
"369","Native 8",19,"disamb","fp",2,346,-0.5,"disamb fp",0,346,-0.5,-0.5
"371","Native 8",11,"disamb","fp",2,178,-0.5,"disamb fp",0,178,-0.5,-0.5
"372","Native 8",3,"disamb","fp",2,213,-0.5,"disamb fp",0,213,-0.5,-0.5
"373","Native 8",23,"disamb","fp",2,169,-0.5,"disamb fp",0,169,-0.5,-0.5
"379","Native 8",1,"disamb","fp",4,209,-0.5,"disamb fp",0,209,-0.5,0.5
"381","Native 8",2,"disamb","fp",1,368,-0.5,"disamb fp",0,368,0.5,-0.5
"382","Native 8",24,"disamb","fp",3,163,-0.5,"disamb fp",0,163,0.5,0.5
"384","Native 8",21,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"385","Native 9",4,"disamb","fp",4,175,-0.5,"disamb fp",0,175,-0.5,0.5
"391","Native 9",2,"disamb","fp",2,295,-0.5,"disamb fp",0,295,-0.5,-0.5
"393","Native 9",19,"disamb","fp",3,179,-0.5,"disamb fp",0,179,0.5,0.5
"394","Native 9",7,"disamb","fp",3,201,-0.5,"disamb fp",0,201,0.5,0.5
"396","Native 9",14,"disamb","fp",2,142,-0.5,"disamb fp",0,142,-0.5,-0.5
"398","Native 9",21,"disamb","fp",1,526,-0.5,"disamb fp",0,526,0.5,-0.5
"401","Native 9",12,"disamb","fp",4,293,-0.5,"disamb fp",0,293,-0.5,0.5
"405","Native 9",20,"disamb","fp",4,0,-0.5,"disamb fp",1,NA,-0.5,0.5
"406","Native 9",23,"disamb","fp",3,334,-0.5,"disamb fp",0,334,0.5,0.5
"407","Native 9",24,"disamb","fp",4,152,-0.5,"disamb fp",0,152,-0.5,0.5
"409","Native 9",1,"disamb","fp",1,189,-0.5,"disamb fp",0,189,0.5,-0.5
"410","Native 9",22,"disamb","fp",2,169,-0.5,"disamb fp",0,169,-0.5,-0.5
"411","Native 9",5,"disamb","fp",1,135,-0.5,"disamb fp",0,135,0.5,-0.5
"416","Native 9",18,"disamb","fp",2,180,-0.5,"disamb fp",0,180,-0.5,-0.5
"417","Native 9",8,"disamb","fp",4,530,-0.5,"disamb fp",0,530,-0.5,0.5
"421","Native 9",3,"disamb","fp",3,285,-0.5,"disamb fp",0,285,0.5,0.5
"422","Native 9",13,"disamb","fp",1,227,-0.5,"disamb fp",0,227,0.5,-0.5
"424","Native 9",11,"disamb","fp",3,329,-0.5,"disamb fp",0,329,0.5,0.5
"427","Native 9",9,"disamb","fp",1,166,-0.5,"disamb fp",0,166,0.5,-0.5
"428","Native 9",16,"disamb","fp",4,166,-0.5,"disamb fp",0,166,-0.5,0.5
"429","Native 9",15,"disamb","fp",3,210,-0.5,"disamb fp",0,210,0.5,0.5
"430","Native 9",6,"disamb","fp",2,229,-0.5,"disamb fp",0,229,-0.5,-0.5
"431","Native 9",17,"disamb","fp",1,174,-0.5,"disamb fp",0,174,0.5,-0.5
"432","Native 9",10,"disamb","fp",2,303,-0.5,"disamb fp",0,303,-0.5,-0.5
"433","Native 10",20,"disamb","fp",1,228,-0.5,"disamb fp",0,228,0.5,-0.5
"436","Native 10",11,"disamb","fp",4,261,-0.5,"disamb fp",0,261,-0.5,0.5
"442","Native 10",9,"disamb","fp",2,607,-0.5,"disamb fp",0,607,-0.5,-0.5
"444","Native 10",14,"disamb","fp",3,239,-0.5,"disamb fp",0,239,0.5,0.5
"447","Native 10",19,"disamb","fp",4,1099,-0.5,"disamb fp",0,1099,-0.5,0.5
"452","Native 10",10,"disamb","fp",3,211,-0.5,"disamb fp",0,211,0.5,0.5
"453","Native 10",6,"disamb","fp",3,259,-0.5,"disamb fp",0,259,0.5,0.5
"454","Native 10",22,"disamb","fp",3,513,-0.5,"disamb fp",0,513,0.5,0.5
"455","Native 10",17,"disamb","fp",2,484,-0.5,"disamb fp",0,484,-0.5,-0.5
"457","Native 10",18,"disamb","fp",3,858,-0.5,"disamb fp",0,858,0.5,0.5
"458","Native 10",12,"disamb","fp",1,0,-0.5,"disamb fp",1,NA,0.5,-0.5
"459","Native 10",15,"disamb","fp",4,440,-0.5,"disamb fp",0,440,-0.5,0.5
"460","Native 10",1,"disamb","fp",2,477,-0.5,"disamb fp",0,477,-0.5,-0.5
"462","Native 10",4,"disamb","fp",1,198,-0.5,"disamb fp",0,198,0.5,-0.5
