"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"7677","Native 1",6,"spillover","fp",2,462,-0.5,"spillover fp",0,462,-0.5,-0.5
"7680","Native 1",1,"spillover","fp",1,284,-0.5,"spillover fp",0,284,0.5,-0.5
"7681","Native 1",16,"spillover","fp",4,211,-0.5,"spillover fp",0,211,-0.5,0.5
"7683","Native 1",13,"spillover","fp",1,190,-0.5,"spillover fp",0,190,0.5,-0.5
"7684","Native 1",3,"spillover","fp",3,149,-0.5,"spillover fp",0,149,0.5,0.5
"7686","Native 1",10,"spillover","fp",2,138,-0.5,"spillover fp",0,138,-0.5,-0.5
"7688","Native 1",7,"spillover","fp",3,447,-0.5,"spillover fp",0,447,0.5,0.5
"7690","Native 1",20,"spillover","fp",4,326,-0.5,"spillover fp",0,326,-0.5,0.5
"7691","Native 1",4,"spillover","fp",4,323,-0.5,"spillover fp",0,323,-0.5,0.5
"7692","Native 1",8,"spillover","fp",4,116,-0.5,"spillover fp",0,116,-0.5,0.5
"7694","Native 1",15,"spillover","fp",3,899,-0.5,"spillover fp",0,899,0.5,0.5
"7696","Native 1",22,"spillover","fp",2,164,-0.5,"spillover fp",0,164,-0.5,-0.5
"7698","Native 1",19,"spillover","fp",3,263,-0.5,"spillover fp",0,263,0.5,0.5
"7701","Native 1",12,"spillover","fp",4,396,-0.5,"spillover fp",0,396,-0.5,0.5
"7704","Native 1",23,"spillover","fp",3,706,-0.5,"spillover fp",0,706,0.5,0.5
"7706","Native 1",17,"spillover","fp",1,367,-0.5,"spillover fp",0,367,0.5,-0.5
"7707","Native 1",21,"spillover","fp",1,252,-0.5,"spillover fp",0,252,0.5,-0.5
"7711","Native 1",24,"spillover","fp",4,229,-0.5,"spillover fp",0,229,-0.5,0.5
"7713","Native 1",14,"spillover","fp",2,377,-0.5,"spillover fp",0,377,-0.5,-0.5
"7714","Native 1",11,"spillover","fp",3,822,-0.5,"spillover fp",0,822,0.5,0.5
"7715","Native 1",9,"spillover","fp",1,0,-0.5,"spillover fp",1,NA,0.5,-0.5
