"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"19192","Native 1",45,"disamb","tt",1,891,-0.5,"disamb tt",0,891,0.5,-0.5
"19193","Native 1",29,"disamb","tt",1,392,-0.5,"disamb tt",0,392,0.5,-0.5
"19196","Native 1",34,"disamb","tt",2,689,-0.5,"disamb tt",0,689,-0.5,-0.5
"19199","Native 1",36,"disamb","tt",4,570,-0.5,"disamb tt",0,570,-0.5,0.5
"19201","Native 1",25,"disamb","tt",1,448,-0.5,"disamb tt",0,448,0.5,-0.5
"19203","Native 1",42,"disamb","tt",2,181,-0.5,"disamb tt",0,181,-0.5,-0.5
"19207","Native 1",41,"disamb","tt",1,526,-0.5,"disamb tt",0,526,0.5,-0.5
"19209","Native 1",46,"disamb","tt",2,388,-0.5,"disamb tt",0,388,-0.5,-0.5
"19211","Native 1",47,"disamb","tt",3,1189,-0.5,"disamb tt",0,1189,0.5,0.5
"19213","Native 1",39,"disamb","tt",3,1138,-0.5,"disamb tt",0,1138,0.5,0.5
"19214","Native 1",35,"disamb","tt",3,992,-0.5,"disamb tt",0,992,0.5,0.5
"19216","Native 1",48,"disamb","tt",4,583,-0.5,"disamb tt",0,583,-0.5,0.5
"19217","Native 1",27,"disamb","tt",3,872,-0.5,"disamb tt",0,872,0.5,0.5
"19219","Native 1",31,"disamb","tt",3,780,-0.5,"disamb tt",0,780,0.5,0.5
"19222","Native 1",40,"disamb","tt",4,276,-0.5,"disamb tt",0,276,-0.5,0.5
"19223","Native 1",38,"disamb","tt",2,617,-0.5,"disamb tt",0,617,-0.5,-0.5
"19224","Native 1",30,"disamb","tt",2,763,-0.5,"disamb tt",0,763,-0.5,-0.5
"19226","Native 1",32,"disamb","tt",4,515,-0.5,"disamb tt",0,515,-0.5,0.5
"19230","Native 1",44,"disamb","tt",4,446,-0.5,"disamb tt",0,446,-0.5,0.5
"19231","Native 1",37,"disamb","tt",1,890,-0.5,"disamb tt",0,890,0.5,-0.5
"19232","Native 1",28,"disamb","tt",4,551,-0.5,"disamb tt",0,551,-0.5,0.5
"19235","Native 1",26,"disamb","tt",2,881,-0.5,"disamb tt",0,881,-0.5,-0.5
"19236","Native 1",33,"disamb","tt",1,704,-0.5,"disamb tt",0,704,0.5,-0.5
"19238","Native 1",43,"disamb","tt",3,943,-0.5,"disamb tt",0,943,0.5,0.5
"19239","Native 2",45,"disamb","tt",2,1343,-0.5,"disamb tt",0,1343,-0.5,-0.5
"19240","Native 2",39,"disamb","tt",4,848,-0.5,"disamb tt",0,848,-0.5,0.5
"19241","Native 2",48,"disamb","tt",1,1705,-0.5,"disamb tt",0,1705,0.5,-0.5
"19247","Native 2",32,"disamb","tt",1,946,-0.5,"disamb tt",0,946,0.5,-0.5
"19248","Native 2",26,"disamb","tt",3,1152,-0.5,"disamb tt",0,1152,0.5,0.5
"19249","Native 2",42,"disamb","tt",3,2068,-0.5,"disamb tt",0,2068,0.5,0.5
"19252","Native 2",37,"disamb","tt",2,413,-0.5,"disamb tt",0,413,-0.5,-0.5
"19253","Native 2",31,"disamb","tt",4,522,-0.5,"disamb tt",0,522,-0.5,0.5
"19256","Native 2",25,"disamb","tt",2,890,-0.5,"disamb tt",0,890,-0.5,-0.5
"19257","Native 2",38,"disamb","tt",3,924,-0.5,"disamb tt",0,924,0.5,0.5
"19258","Native 2",35,"disamb","tt",4,2036,-0.5,"disamb tt",0,2036,-0.5,0.5
"19259","Native 2",41,"disamb","tt",2,296,-0.5,"disamb tt",0,296,-0.5,-0.5
