"","subject","item","region","measure","condition","rawdata","group","sort","skips","nozero","ambiguity","continuation"
"26867","Native 1",6,"spillover","tt",2,462,-0.5,"spillover tt",0,462,-0.5,-0.5
"26870","Native 1",1,"spillover","tt",1,284,-0.5,"spillover tt",0,284,0.5,-0.5
"26871","Native 1",16,"spillover","tt",4,389,-0.5,"spillover tt",0,389,-0.5,0.5
"26873","Native 1",13,"spillover","tt",1,656,-0.5,"spillover tt",0,656,0.5,-0.5
"26874","Native 1",3,"spillover","tt",3,1439,-0.5,"spillover tt",0,1439,0.5,0.5
"26876","Native 1",10,"spillover","tt",2,269,-0.5,"spillover tt",0,269,-0.5,-0.5
"26878","Native 1",7,"spillover","tt",3,710,-0.5,"spillover tt",0,710,0.5,0.5
"26880","Native 1",20,"spillover","tt",4,833,-0.5,"spillover tt",0,833,-0.5,0.5
"26881","Native 1",4,"spillover","tt",4,553,-0.5,"spillover tt",0,553,-0.5,0.5
"26882","Native 1",8,"spillover","tt",4,1164,-0.5,"spillover tt",0,1164,-0.5,0.5
"26884","Native 1",15,"spillover","tt",3,1106,-0.5,"spillover tt",0,1106,0.5,0.5
"26886","Native 1",22,"spillover","tt",2,388,-0.5,"spillover tt",0,388,-0.5,-0.5
"26888","Native 1",19,"spillover","tt",3,558,-0.5,"spillover tt",0,558,0.5,0.5
"26891","Native 1",12,"spillover","tt",4,396,-0.5,"spillover tt",0,396,-0.5,0.5
"26894","Native 1",23,"spillover","tt",3,706,-0.5,"spillover tt",0,706,0.5,0.5
"26896","Native 1",17,"spillover","tt",1,367,-0.5,"spillover tt",0,367,0.5,-0.5
"26897","Native 1",21,"spillover","tt",1,252,-0.5,"spillover tt",0,252,0.5,-0.5
"26901","Native 1",24,"spillover","tt",4,794,-0.5,"spillover tt",0,794,-0.5,0.5
"26903","Native 1",14,"spillover","tt",2,377,-0.5,"spillover tt",0,377,-0.5,-0.5
"26904","Native 1",11,"spillover","tt",3,1083,-0.5,"spillover tt",0,1083,0.5,0.5
"26905","Native 1",9,"spillover","tt",1,1256,-0.5,"spillover tt",0,1256,0.5,-0.5
"26909","Native 1",5,"spillover","tt",1,1041,-0.5,"spillover tt",0,1041,0.5,-0.5
"26910","Native 1",2,"spillover","tt",2,380,-0.5,"spillover tt",0,380,-0.5,-0.5
"26913","Native 1",18,"spillover","tt",2,610,-0.5,"spillover tt",0,610,-0.5,-0.5
"26918","Native 2",20,"spillover","tt",1,1316,-0.5,"spillover tt",0,1316,0.5,-0.5
"26919","Native 2",5,"spillover","tt",2,733,-0.5,"spillover tt",0,733,-0.5,-0.5
"26920","Native 2",12,"spillover","tt",1,179,-0.5,"spillover tt",0,179,0.5,-0.5
"26921","Native 2",2,"spillover","tt",3,1456,-0.5,"spillover tt",0,1456,0.5,0.5
"26922","Native 2",9,"spillover","tt",2,987,-0.5,"spillover tt",0,987,-0.5,-0.5
"26926","Native 2",16,"spillover","tt",1,533,-0.5,"spillover tt",0,533,0.5,-0.5
"26927","Native 2",1,"spillover","tt",2,892,-0.5,"spillover tt",0,892,-0.5,-0.5
"26930","Native 2",13,"spillover","tt",2,397,-0.5,"spillover tt",0,397,-0.5,-0.5
"26931","Native 2",10,"spillover","tt",3,1098,-0.5,"spillover tt",0,1098,0.5,0.5
"26936","Native 2",7,"spillover","tt",4,1719,-0.5,"spillover tt",0,1719,-0.5,0.5
"26939","Native 2",24,"spillover","tt",1,588,-0.5,"spillover tt",0,588,0.5,-0.5
"26942","Native 2",23,"spillover","tt",4,515,-0.5,"spillover tt",0,515,-0.5,0.5
"26943","Native 2",4,"spillover","tt",1,650,-0.5,"spillover tt",0,650,0.5,-0.5
"26946","Native 2",19,"spillover","tt",4,1310,-0.5,"spillover tt",0,1310,-0.5,0.5
"26947","Native 2",22,"spillover","tt",3,399,-0.5,"spillover tt",0,399,0.5,0.5
"26950","Native 2",8,"spillover","tt",1,218,-0.5,"spillover tt",0,218,0.5,-0.5
"26951","Native 2",3,"spillover","tt",4,702,-0.5,"spillover tt",0,702,-0.5,0.5
"26952","Native 2",17,"spillover","tt",2,590,-0.5,"spillover tt",0,590,-0.5,-0.5
"26955","Native 2",21,"spillover","tt",2,463,-0.5,"spillover tt",0,463,-0.5,-0.5
"26956","Native 2",14,"spillover","tt",3,624,-0.5,"spillover tt",0,624,0.5,0.5
"26957","Native 2",18,"spillover","tt",3,382,-0.5,"spillover tt",0,382,0.5,0.5
"26959","Native 2",6,"spillover","tt",3,556,-0.5,"spillover tt",0,556,0.5,0.5
"26961","Native 2",11,"spillover","tt",4,0,-0.5,"spillover tt",1,NA,-0.5,0.5
"26962","Native 2",15,"spillover","tt",4,807,-0.5,"spillover tt",0,807,-0.5,0.5
"26965","Native 3",18,"spillover","tt",4,922,-0.5,"spillover tt",0,922,-0.5,0.5
"26968","Native 3",4,"spillover","tt",2,753,-0.5,"spillover tt",0,753,-0.5,-0.5
"26972","Native 3",15,"spillover","tt",1,425,-0.5,"spillover tt",0,425,0.5,-0.5
"26973","Native 3",10,"spillover","tt",4,1242,-0.5,"spillover tt",0,1242,-0.5,0.5
"26974","Native 3",23,"spillover","tt",1,1964,-0.5,"spillover tt",0,1964,0.5,-0.5
"26975","Native 3",17,"spillover","tt",3,598,-0.5,"spillover tt",0,598,0.5,0.5
"26977","Native 3",9,"spillover","tt",3,1294,-0.5,"spillover tt",0,1294,0.5,0.5
"26978","Native 3",22,"spillover","tt",4,422,-0.5,"spillover tt",0,422,-0.5,0.5
"26987","Native 3",13,"spillover","tt",3,874,-0.5,"spillover tt",0,874,0.5,0.5
"26988","Native 3",1,"spillover","tt",3,681,-0.5,"spillover tt",0,681,0.5,0.5
"26989","Native 3",5,"spillover","tt",3,1391,-0.5,"spillover tt",0,1391,0.5,0.5
"26991","Native 3",11,"spillover","tt",1,881,-0.5,"spillover tt",0,881,0.5,-0.5
"26992","Native 3",16,"spillover","tt",2,185,-0.5,"spillover tt",0,185,-0.5,-0.5
"26993","Native 3",6,"spillover","tt",4,572,-0.5,"spillover tt",0,572,-0.5,0.5
"26994","Native 3",21,"spillover","tt",3,263,-0.5,"spillover tt",0,263,0.5,0.5
"26995","Native 3",3,"spillover","tt",1,944,-0.5,"spillover tt",0,944,0.5,-0.5
"26997","Native 3",7,"spillover","tt",1,1989,-0.5,"spillover tt",0,1989,0.5,-0.5
"27002","Native 3",14,"spillover","tt",4,396,-0.5,"spillover tt",0,396,-0.5,0.5
"27003","Native 3",19,"spillover","tt",1,433,-0.5,"spillover tt",0,433,0.5,-0.5
"27004","Native 3",20,"spillover","tt",2,800,-0.5,"spillover tt",0,800,-0.5,-0.5
"27006","Native 3",8,"spillover","tt",2,398,-0.5,"spillover tt",0,398,-0.5,-0.5
"27007","Native 3",2,"spillover","tt",4,708,-0.5,"spillover tt",0,708,-0.5,0.5
"27009","Native 3",24,"spillover","tt",2,429,-0.5,"spillover tt",0,429,-0.5,-0.5
"27010","Native 3",12,"spillover","tt",2,1110,-0.5,"spillover tt",0,1110,-0.5,-0.5
"27011","Native 4",5,"spillover","tt",4,568,-0.5,"spillover tt",0,568,-0.5,0.5
"27012","Native 4",10,"spillover","tt",1,334,-0.5,"spillover tt",0,334,0.5,-0.5
"27015","Native 4",12,"spillover","tt",3,689,-0.5,"spillover tt",0,689,0.5,0.5
"27016","Native 4",14,"spillover","tt",1,899,-0.5,"spillover tt",0,899,0.5,-0.5
"27019","Native 4",11,"spillover","tt",2,1144,-0.5,"spillover tt",0,1144,-0.5,-0.5
"27021","Native 4",18,"spillover","tt",1,1080,-0.5,"spillover tt",0,1080,0.5,-0.5
"27022","Native 4",7,"spillover","tt",2,901,-0.5,"spillover tt",0,901,-0.5,-0.5
"27024","Native 4",20,"spillover","tt",3,591,-0.5,"spillover tt",0,591,0.5,0.5
"27025","Native 4",22,"spillover","tt",1,351,-0.5,"spillover tt",0,351,0.5,-0.5
"27028","Native 4",16,"spillover","tt",3,579,-0.5,"spillover tt",0,579,0.5,0.5
"27029","Native 4",17,"spillover","tt",4,658,-0.5,"spillover tt",0,658,-0.5,0.5
"27033","Native 4",2,"spillover","tt",1,1758,-0.5,"spillover tt",0,1758,0.5,-0.5
"27034","Native 4",8,"spillover","tt",3,744,-0.5,"spillover tt",0,744,0.5,0.5
"27043","Native 4",23,"spillover","tt",2,846,-0.5,"spillover tt",0,846,-0.5,-0.5
"27044","Native 4",4,"spillover","tt",3,1335,-0.5,"spillover tt",0,1335,0.5,0.5
"27046","Native 4",21,"spillover","tt",4,251,-0.5,"spillover tt",0,251,-0.5,0.5
"27047","Native 4",9,"spillover","tt",4,1257,-0.5,"spillover tt",0,1257,-0.5,0.5
"27050","Native 4",3,"spillover","tt",2,1214,-0.5,"spillover tt",0,1214,-0.5,-0.5
"27051","Native 4",1,"spillover","tt",4,345,-0.5,"spillover tt",0,345,-0.5,0.5
"27052","Native 4",19,"spillover","tt",2,557,-0.5,"spillover tt",0,557,-0.5,-0.5
"27053","Native 4",13,"spillover","tt",4,1076,-0.5,"spillover tt",0,1076,-0.5,0.5
"27054","Native 4",6,"spillover","tt",1,1745,-0.5,"spillover tt",0,1745,0.5,-0.5
"27055","Native 4",24,"spillover","tt",3,432,-0.5,"spillover tt",0,432,0.5,0.5
"27057","Native 4",15,"spillover","tt",2,1032,-0.5,"spillover tt",0,1032,-0.5,-0.5
"27059","Native 5",13,"spillover","tt",1,565,-0.5,"spillover tt",0,565,0.5,-0.5
"27060","Native 5",6,"spillover","tt",2,173,-0.5,"spillover tt",0,173,-0.5,-0.5
"27061","Native 5",21,"spillover","tt",1,525,-0.5,"spillover tt",0,525,0.5,-0.5
"27062","Native 5",24,"spillover","tt",4,693,-0.5,"spillover tt",0,693,-0.5,0.5
"27067","Native 5",11,"spillover","tt",3,317,-0.5,"spillover tt",0,317,0.5,0.5
"27068","Native 5",18,"spillover","tt",2,241,-0.5,"spillover tt",0,241,-0.5,-0.5
"27070","Native 5",16,"spillover","tt",4,185,-0.5,"spillover tt",0,185,-0.5,0.5
"27072","Native 5",7,"spillover","tt",3,686,-0.5,"spillover tt",0,686,0.5,0.5
"27079","Native 5",3,"spillover","tt",3,715,-0.5,"spillover tt",0,715,0.5,0.5
"27084","Native 5",14,"spillover","tt",2,583,-0.5,"spillover tt",0,583,-0.5,-0.5
"27085","Native 5",20,"spillover","tt",4,638,-0.5,"spillover tt",0,638,-0.5,0.5
"27086","Native 5",2,"spillover","tt",2,268,-0.5,"spillover tt",0,268,-0.5,-0.5
"27087","Native 5",8,"spillover","tt",4,349,-0.5,"spillover tt",0,349,-0.5,0.5
"27089","Native 5",15,"spillover","tt",3,254,-0.5,"spillover tt",0,254,0.5,0.5
"27092","Native 5",10,"spillover","tt",2,161,-0.5,"spillover tt",0,161,-0.5,-0.5
"27096","Native 5",23,"spillover","tt",3,384,-0.5,"spillover tt",0,384,0.5,0.5
"27097","Native 5",4,"spillover","tt",4,362,-0.5,"spillover tt",0,362,-0.5,0.5
"27099","Native 5",9,"spillover","tt",1,574,-0.5,"spillover tt",0,574,0.5,-0.5
"27100","Native 5",17,"spillover","tt",1,436,-0.5,"spillover tt",0,436,0.5,-0.5
"27101","Native 5",12,"spillover","tt",4,606,-0.5,"spillover tt",0,606,-0.5,0.5
"27102","Native 5",22,"spillover","tt",2,327,-0.5,"spillover tt",0,327,-0.5,-0.5
"27103","Native 5",5,"spillover","tt",1,409,-0.5,"spillover tt",0,409,0.5,-0.5
"27104","Native 5",19,"spillover","tt",3,308,-0.5,"spillover tt",0,308,0.5,0.5
"27105","Native 5",1,"spillover","tt",1,596,-0.5,"spillover tt",0,596,0.5,-0.5
"27107","Native 6",21,"spillover","tt",2,272,-0.5,"spillover tt",0,272,-0.5,-0.5
"27110","Native 6",15,"spillover","tt",4,417,-0.5,"spillover tt",0,417,-0.5,0.5
"27111","Native 6",6,"spillover","tt",3,383,-0.5,"spillover tt",0,383,0.5,0.5
"27113","Native 6",19,"spillover","tt",4,956,-0.5,"spillover tt",0,956,-0.5,0.5
"27121","Native 6",10,"spillover","tt",3,426,-0.5,"spillover tt",0,426,0.5,0.5
"27123","Native 6",24,"spillover","tt",1,764,-0.5,"spillover tt",0,764,0.5,-0.5
"27124","Native 6",5,"spillover","tt",2,579,-0.5,"spillover tt",0,579,-0.5,-0.5
"27125","Native 6",2,"spillover","tt",3,140,-0.5,"spillover tt",0,140,0.5,0.5
"27126","Native 6",14,"spillover","tt",3,626,-0.5,"spillover tt",0,626,0.5,0.5
"27129","Native 6",18,"spillover","tt",3,280,-0.5,"spillover tt",0,280,0.5,0.5
"27131","Native 6",7,"spillover","tt",4,776,-0.5,"spillover tt",0,776,-0.5,0.5
"27133","Native 6",17,"spillover","tt",2,312,-0.5,"spillover tt",0,312,-0.5,-0.5
"27134","Native 6",23,"spillover","tt",4,350,-0.5,"spillover tt",0,350,-0.5,0.5
"27135","Native 6",8,"spillover","tt",1,365,-0.5,"spillover tt",0,365,0.5,-0.5
"27139","Native 6",3,"spillover","tt",4,650,-0.5,"spillover tt",0,650,-0.5,0.5
"27140","Native 6",20,"spillover","tt",1,895,-0.5,"spillover tt",0,895,0.5,-0.5
"27141","Native 6",16,"spillover","tt",1,343,-0.5,"spillover tt",0,343,0.5,-0.5
"27143","Native 6",4,"spillover","tt",1,376,-0.5,"spillover tt",0,376,0.5,-0.5
"27144","Native 6",13,"spillover","tt",2,330,-0.5,"spillover tt",0,330,-0.5,-0.5
"27145","Native 6",9,"spillover","tt",2,868,-0.5,"spillover tt",0,868,-0.5,-0.5
"27149","Native 6",22,"spillover","tt",3,293,-0.5,"spillover tt",0,293,0.5,0.5
"27150","Native 6",11,"spillover","tt",4,199,-0.5,"spillover tt",0,199,-0.5,0.5
"27152","Native 6",1,"spillover","tt",2,1162,-0.5,"spillover tt",0,1162,-0.5,-0.5
"27154","Native 6",12,"spillover","tt",1,390,-0.5,"spillover tt",0,390,0.5,-0.5
"27158","Native 7",20,"spillover","tt",2,650,-0.5,"spillover tt",0,650,-0.5,-0.5
"27159","Native 7",3,"spillover","tt",1,1022,-0.5,"spillover tt",0,1022,0.5,-0.5
"27161","Native 7",9,"spillover","tt",3,418,-0.5,"spillover tt",0,418,0.5,0.5
"27162","Native 7",1,"spillover","tt",3,368,-0.5,"spillover tt",0,368,0.5,0.5
"27163","Native 7",7,"spillover","tt",1,403,-0.5,"spillover tt",0,403,0.5,-0.5
"27169","Native 7",15,"spillover","tt",1,575,-0.5,"spillover tt",0,575,0.5,-0.5
"27171","Native 7",12,"spillover","tt",2,582,-0.5,"spillover tt",0,582,-0.5,-0.5
"27172","Native 7",24,"spillover","tt",2,650,-0.5,"spillover tt",0,650,-0.5,-0.5
"27175","Native 7",22,"spillover","tt",4,928,-0.5,"spillover tt",0,928,-0.5,0.5
"27176","Native 7",8,"spillover","tt",2,1580,-0.5,"spillover tt",0,1580,-0.5,-0.5
"27177","Native 7",6,"spillover","tt",4,323,-0.5,"spillover tt",0,323,-0.5,0.5
"27178","Native 7",16,"spillover","tt",2,589,-0.5,"spillover tt",0,589,-0.5,-0.5
"27181","Native 7",18,"spillover","tt",4,311,-0.5,"spillover tt",0,311,-0.5,0.5
"27182","Native 7",2,"spillover","tt",4,730,-0.5,"spillover tt",0,730,-0.5,0.5
"27185","Native 7",11,"spillover","tt",1,656,-0.5,"spillover tt",0,656,0.5,-0.5
"27187","Native 7",14,"spillover","tt",4,951,-0.5,"spillover tt",0,951,-0.5,0.5
"27188","Native 7",13,"spillover","tt",3,798,-0.5,"spillover tt",0,798,0.5,0.5
"27190","Native 7",5,"spillover","tt",3,417,-0.5,"spillover tt",0,417,0.5,0.5
"27192","Native 7",19,"spillover","tt",1,410,-0.5,"spillover tt",0,410,0.5,-0.5
"27196","Native 7",21,"spillover","tt",3,298,-0.5,"spillover tt",0,298,0.5,0.5
"27198","Native 7",23,"spillover","tt",1,733,-0.5,"spillover tt",0,733,0.5,-0.5
"27199","Native 7",4,"spillover","tt",2,748,-0.5,"spillover tt",0,748,-0.5,-0.5
"27200","Native 7",17,"spillover","tt",3,733,-0.5,"spillover tt",0,733,0.5,0.5
"27202","Native 7",10,"spillover","tt",4,499,-0.5,"spillover tt",0,499,-0.5,0.5
"27205","Native 8",10,"spillover","tt",1,161,-0.5,"spillover tt",0,161,0.5,-0.5
"27206","Native 8",6,"spillover","tt",1,157,-0.5,"spillover tt",0,157,0.5,-0.5
"27207","Native 8",9,"spillover","tt",4,638,-0.5,"spillover tt",0,638,-0.5,0.5
"27208","Native 8",12,"spillover","tt",3,330,-0.5,"spillover tt",0,330,0.5,0.5
"27209","Native 8",15,"spillover","tt",2,366,-0.5,"spillover tt",0,366,-0.5,-0.5
"27210","Native 8",8,"spillover","tt",3,657,-0.5,"spillover tt",0,657,0.5,0.5
"27216","Native 8",22,"spillover","tt",1,258,-0.5,"spillover tt",0,258,0.5,-0.5
"27218","Native 8",16,"spillover","tt",3,674,-0.5,"spillover tt",0,674,0.5,0.5
"27220","Native 8",18,"spillover","tt",1,197,-0.5,"spillover tt",0,197,0.5,-0.5
"27224","Native 8",4,"spillover","tt",3,960,-0.5,"spillover tt",0,960,0.5,0.5
"27225","Native 8",17,"spillover","tt",4,613,-0.5,"spillover tt",0,613,-0.5,0.5
"27226","Native 8",13,"spillover","tt",4,999,-0.5,"spillover tt",0,999,-0.5,0.5
"27227","Native 8",5,"spillover","tt",4,2033,-0.5,"spillover tt",0,2033,-0.5,0.5
"27230","Native 8",14,"spillover","tt",1,361,-0.5,"spillover tt",0,361,0.5,-0.5
"27232","Native 8",20,"spillover","tt",3,503,-0.5,"spillover tt",0,503,0.5,0.5
"27234","Native 8",7,"spillover","tt",2,585,-0.5,"spillover tt",0,585,-0.5,-0.5
"27235","Native 8",19,"spillover","tt",2,656,-0.5,"spillover tt",0,656,-0.5,-0.5
"27237","Native 8",11,"spillover","tt",2,210,-0.5,"spillover tt",0,210,-0.5,-0.5
"27238","Native 8",3,"spillover","tt",2,365,-0.5,"spillover tt",0,365,-0.5,-0.5
"27239","Native 8",23,"spillover","tt",2,219,-0.5,"spillover tt",0,219,-0.5,-0.5
"27245","Native 8",1,"spillover","tt",4,854,-0.5,"spillover tt",0,854,-0.5,0.5
"27247","Native 8",2,"spillover","tt",1,329,-0.5,"spillover tt",0,329,0.5,-0.5
"27248","Native 8",24,"spillover","tt",3,1226,-0.5,"spillover tt",0,1226,0.5,0.5
"27250","Native 8",21,"spillover","tt",4,608,-0.5,"spillover tt",0,608,-0.5,0.5
"27251","Native 9",4,"spillover","tt",4,1076,-0.5,"spillover tt",0,1076,-0.5,0.5
"27257","Native 9",2,"spillover","tt",2,763,-0.5,"spillover tt",0,763,-0.5,-0.5
"27259","Native 9",19,"spillover","tt",3,1067,-0.5,"spillover tt",0,1067,0.5,0.5
